"","X","Longitude","Latitude","state","MinKm","soil_i_or_is"
"1901",10248,-115.913066864014,40.7460021972656,"Nevada",87.1366687804753,"314"
"1902",10249,-116.505079269409,40.7460021972656,"Nevada",135.767691447863,"314"
"1903",10250,-117.097091674805,40.7460021972656,"Nevada",185.174419718785,"314"
"1904",10251,-117.6891040802,40.7460021972656,"Nevada",193.736998508662,"312"
"1905",10252,-118.281116485596,40.7460021972656,"Nevada",144.147794551117,"312"
"1906",10253,-118.873128890991,40.7460021972656,"Nevada",95.0673547110113,"312"
"1907",10254,-119.465141296387,40.7460021972656,"Nevada",48.0853638526642,"312"
"1908",10255,-120.057153701782,40.7460021972656,"California",24.5375663286301,"312"
"1909",10256,-120.649166107178,40.7460021972656,"California",16.0055408622386,"143"
"1910",10257,-121.241178512573,40.7460021972656,"California",46.4760038512351,"143"
"1911",10258,-121.833190917969,40.7460021972656,"California",95.2560173299636,"143"
